
2024-03-1607:06:55	4df0b823-f7c2-4028-a510-0d71a5782000	GET	 undefined//	/employees
2024-03-1607:06:56	a7faeb7b-0583-49ca-8ee1-4d458231ca8e	GET	 undefined//	/employees
2024-03-1607:06:57	f655b7f2-4044-4ea5-ba85-2c32fe4fc9fc	GET	 undefined//	/employees
2024-03-1607:06:58	3694b225-e7a6-45de-87ab-2e4045f6cd8c	GET	 undefined//	/employees
2024-03-1607:06:59	425203eb-868c-4f15-9456-09723c4bd2be	GET	 undefined//	/employees
2024-03-1607:07:00	27ed85e6-7328-4c25-addc-992b386abda4	GET	 undefined//	/employees
2024-03-1607:07:01	d73c97c3-6b0f-4257-a295-cf0a4aea49c6	GET	 undefined//	/employees
2024-03-1607:07:05	3adc43c2-420a-495b-92b9-80b25524fcd7	GET	 undefined//	/employees
2024-03-1608:33:09	7922a8a0-8e12-4e09-9959-c0f9d2ae9a4a	POST	 undefined//	/auth
2024-03-1608:34:22	151d080f-5cd4-48b6-b039-f6081a596cef	POST	 undefined//	/refresh
2024-03-1608:34:35	b93114bd-411f-4c0e-8f59-cd9bf14ba21e	POST	 undefined//	/refresh
2024-03-1608:34:38	dd726c33-a414-4235-b623-1a51912108ec	POST	 undefined//	/refresh
2024-03-1608:34:48	59e53757-75ae-4565-8ff9-769e0249f04c	GET	 undefined//	/refresh
2024-03-1608:35:09	620308b6-dcfb-4586-918c-7076ad5739a7	GET	 undefined//	/refresh
2024-03-1608:35:10	1edc553b-eec6-4c76-a99a-02605da5beee	GET	 undefined//	/refresh
2024-03-1609:34:19	7bbd7c34-93ab-4bea-9619-caae0ea29438	POST	 undefined//	/auth
2024-03-1609:34:43	e3ba527c-82a9-4c66-a79d-6cc0112c9836	POST	 undefined//	/logout
2024-03-1609:34:57	1a769e65-90b1-45a0-9869-21064b5d6d13	GET	 undefined//	/logout
2024-03-1609:38:15	575cb38c-806f-4e5c-9744-5a9ade88211e	POST	 undefined//	/auth
2024-03-1609:38:28	6b33c9ae-88a5-4851-b8f3-9cd806e359b1	GET	 undefined//	/logout
2024-03-1609:40:41	7df6b029-9e53-437d-a6be-a0fdaa104402	GET	 undefined//	/refresh
2024-03-1609:40:46	a68a7d8e-09ac-4d8b-9679-70138b31383f	GET	 undefined//	/refresh
2024-03-1609:41:21	622213c3-8f3f-43a3-9449-6a99187e2215	GET	 undefined//	/refresh
2024-03-1609:41:40	df050b4a-bebf-466f-9e36-69630e115c32	GET	 undefined//	/refresh
